MetaCyc Pathway ID	MetaCyc Pathway	Gene Count	
GLYSYN-PWY	glycine biosynthesis I	1	
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	1	
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	3	
HISTSYN-PWY	L-histidine biosynthesis	7	
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	3	
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	1	
HOMOSERSYN-PWY	L-homoserine biosynthesis	4	
HSERMETANA-PWY	L-methionine biosynthesis III	1	
IDNCAT-PWY	L-idonate degradation	1	
ILEUDEG-PWY	L-isoleucine degradation I	2	
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	6	
LACTOSECAT-PWY	lactose and galactose degradation I	1	
LACTOSEUTIL-PWY	lactose degradation II	1	
LCYSDEG-PWY	L-cysteine degradation II	1	
LEUSYN-PWY	L-leucine biosynthesis	2	
LIPASYN-PWY	phospholipases	1	
MALATE-ASPARTATE-SHUTTLE-PWY	L-aspartate degradation II	2	
MANNCAT-PWY	D-mannose degradation	1	
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein <i>N</i>-glycosylation (eukaryotic, high mannose)	2	
METH-ACETATE-PWY	methanogenesis from acetate	3	
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	2	
N2FIX-PWY	nitrogen fixation I (ferredoxin)	3	
NAD-BIOSYNTHESIS-III	NAD biosynthesis III	1	
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	1	
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation	1	
NONMEVIPP-PWY	methylerythritol phosphate pathway I	6	
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	6	
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)	10	
P101-PWY	ectoine biosynthesis	2	
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	3	
P108-PWY	pyruvate fermentation to propanoate I	3	
P121-PWY	adenine and adenosine salvage I	3	
P122-PWY	heterolactic fermentation	11	
P124-PWY	Bifidobacterium shunt	18	
P142-PWY	pyruvate fermentation to acetate I	9	
P161-PWY	acetylene degradation	3	
P163-PWY	L-lysine fermentation to acetate and butanoate	2	
P164-PWY	purine nucleobases degradation I (anaerobic)	4	
P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)	10	
P21-PWY	pentose phosphate pathway (partial)	5	
P221-PWY	octane oxidation	3	
P224-PWY	sulfate reduction V (dissimilatory)	2	
P23-PWY	reductive TCA cycle I	16	
P3-PWY	gallate degradation III (anaerobic)	2	
P341-PWY	glycolysis V (Pyrococcus)	10	
P42-PWY	incomplete reductive TCA cycle	15	
PANTO-PWY	phosphopantothenate biosynthesis I	3	
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	2	
PHESYN	L-phenylalanine biosynthesis I	3	
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I	1	
PPGPPMET-PWY	ppGpp biosynthesis	3	
PROPIONMET-PWY	propanoyl CoA degradation I	1	
PROSYN-PWY	L-proline biosynthesis I	3	
PWY-0	putrescine degradation III	1	
PWY-101	photosynthesis light reactions	1	
PWY-1042	glycolysis IV (plant cytosol)	12	
PWY-1081	homogalacturonan degradation	1	
PWY-1121	suberin monomers biosynthesis	2	
PWY-1281	sulfoacetaldehyde degradation I	1	
PWY-1341	phenylacetate degradation II (anaerobic)	2	
PWY-1622	formaldehyde assimilation I (serine pathway)	3	
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate	2	
PWY-181	photorespiration	5	
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	9	
PWY-1881	formate oxidation to CO<sub>2</sub>	1	
PWY-2161	folate polyglutamylation	3	
PWY-2201	folate transformations I	6	
PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)	7	
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	1	
PWY-2501	fatty acid &alpha;-oxidation I	1	
PWY-2723	trehalose degradation V	1	
PWY-2724	alkane oxidation	1	
PWY-2781	<i>cis</i>-zeatin biosynthesis	1	
PWY-2941	L-lysine biosynthesis II	7	
PWY-2942	L-lysine biosynthesis III	7	
PWY-3121	linamarin degradation	3	
PWY-3162	L-tryptophan degradation V (side chain pathway)	1	
PWY-321	cutin biosynthesis	2	
PWY-3221	dTDP-L-rhamnose biosynthesis II	2	
PWY-3341	L-proline biosynthesis III	3	
PWY-3461	L-tyrosine biosynthesis II	2	
PWY-3462	L-phenylalanine biosynthesis II	2	
PWY-3661	glycine betaine degradation I	2	
PWY-3661-1	glycine betaine degradation II (mammalian)	1	
PWY-3781	aerobic respiration I (cytochrome c)	3	
PWY-3801	sucrose degradation II (sucrose synthase)	3	
PWY-381	nitrate reduction II (assimilatory)	4	
PWY-3821	D-galactose degradation III	1	
PWY-3841	folate transformations II	8	
PWY-3861	mannitol degradation II	1	
PWY-3881	mannitol biosynthesis	1	
PWY-3961	phosphopantothenate biosynthesis II	1	
PWY-40	putrescine biosynthesis I	3	
PWY-4101	D-sorbitol degradation I	3	
PWY-4202	arsenate detoxification I (glutaredoxin)	3	
PWY-4261	glycerol degradation I	1	
PWY-43	putrescine biosynthesis II	2	
PWY-4302	aerobic respiration III (alternative oxidase pathway)	3	
PWY-4361	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	1	
PWY-4381	fatty acid biosynthesis initiation I	3	
PWY-4621	arsenate detoxification II (glutaredoxin)	1	
PWY-4861	UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	1	
PWY-4981	L-proline biosynthesis II (from arginine)	2	
PWY-4983	L-citrulline-nitric oxide cycle	2	
PWY-4984	urea cycle	3	
PWY-5	canavanine biosynthesis	2	
PWY-5030	L-histidine degradation III	1	
PWY-5041	<i>S</i>-adenosyl-L-methionine cycle II	2	
PWY-5054	sorbitol biosynthesis I	1	
PWY-5057	L-valine degradation II	2	
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)	1	
PWY-5076	L-leucine degradation III	1	
PWY-5078	L-isoleucine degradation II	2	
PWY-5079	L-phenylalanine degradation III	1	
PWY-5082	L-methionine degradation III	1	
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	4	
PWY-5097	L-lysine biosynthesis VI	8	
PWY-5101	L-isoleucine biosynthesis II	7	
PWY-5103	L-isoleucine biosynthesis III	6	
PWY-5104	L-isoleucine biosynthesis IV	5	
PWY-5108	L-isoleucine biosynthesis V	1	
PWY-5109	2-methylbutanoate biosynthesis	1	
PWY-5120	geranylgeranyl diphosphate biosynthesis	1	
PWY-5122	geranyl diphosphate biosynthesis	1	
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	1	
PWY-5136	fatty acid &beta;-oxidation II (peroxisome)	3	
PWY-5138	unsaturated, even numbered fatty acid &beta;-oxidation	1	
PWY-5143	long-chain fatty acid activation	2	
PWY-5147	oleate biosynthesis I (plants)	2	
PWY-5154	L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)	10	
PWY-5155	&beta;-alanine biosynthesis III	1	
PWY-5162	2-oxopentenoate degradation	1	
PWY-5176	coumarin biosynthesis (via 2-coumarate)	3	
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	6	
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	3	
PWY-5194	siroheme biosynthesis	1	
PWY-5197	lactate biosynthesis (archaea)	1	
PWY-5265	peptidoglycan biosynthesis II (staphylococci)	10	
PWY-5269	cardiolipin biosynthesis II	2	
PWY-5278	sulfite oxidation III	2	
PWY-5316	nicotine biosynthesis	3	
PWY-5340	sulfate activation for sulfonation	2	
PWY-5344	L-homocysteine biosynthesis	2	
PWY-5367	petroselinate biosynthesis	2	
PWY-5372	carbon tetrachloride degradation II	1	
PWY-5381	pyridine nucleotide cycling (plants)	3	
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	3	
PWY-5392	reductive TCA cycle II	15	
PWY-5419	catechol degradation to 2-oxopent-4-enoate II	1	
PWY-5436	L-threonine degradation IV	1	
PWY-5480	pyruvate fermentation to ethanol I	2	
PWY-5481	pyruvate fermentation to lactate	2	
PWY-5482	pyruvate fermentation to acetate II	2	
PWY-5483	pyruvate fermentation to acetate III	9	
PWY-5484	glycolysis II (from fructose 6-phosphate)	13	
PWY-5485	pyruvate fermentation to acetate IV	3	
PWY-5486	pyruvate fermentation to ethanol II	1	
PWY-5493	reductive monocarboxylic acid cycle	10	
PWY-5497	purine nucleobases degradation II (anaerobic)	16	
PWY-5508	adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide II	6	
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide I	6	
PWY-5514	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II	2	
PWY-5523	5,6-dimethylbenzimidazole biosynthesis I (aerobic)	1	
PWY-5531	chlorophyllide <i>a</i> biosynthesis II (anaerobic)	1	
PWY-5538	pyruvate fermentation to acetate VI	9	
PWY-5600	pyruvate fermentation to acetate VII	9	
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	2	
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	3	
PWY-5659	GDP-mannose biosynthesis	5	
PWY-5661	GDP-glucose biosynthesis	1	
PWY-5663	tetrahydrobiopterin biosynthesis I	2	
PWY-5664	tetrahydrobiopterin biosynthesis II	2	
PWY-5667	CDP-diacylglycerol biosynthesis I	5	
PWY-5668	cardiolipin biosynthesis I	1	
PWY-5675	nitrate reduction V (assimilatory)	5	
PWY-5686	UMP biosynthesis	7	
PWY-5690	TCA cycle II (plants and fungi)	2	
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	3	
PWY-5704	urea degradation II	3	
PWY-5723	Rubisco shunt	12	
PWY-5741	ethylmalonyl-CoA pathway	1	
PWY-5743	3-hydroxypropanoate cycle	1	
PWY-5751	phenylethanol biosynthesis	1	
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	2	
PWY-5789	3-hydroxypropanoate/4-hydroxybutanate cycle	1	
PWY-5807	heptaprenyl diphosphate biosynthesis	2	
PWY-5833	CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis	2	
PWY-5885	wax esters biosynthesis II	2	
PWY-5912	2'-deoxymugineic acid phytosiderophore biosynthesis	1	
PWY-5913	partial TCA cycle (obligate autotrophs)	6	
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	6	
PWY-5938	(<i>R</i>)-acetoin biosynthesis I	3	
PWY-5939	(<i>R</i>)-acetoin biosynthesis II	3	
PWY-5940	streptomycin biosynthesis	2	
PWY-5941	glycogen degradation II	2	
PWY-5958	acridone alkaloid biosynthesis	2	
PWY-5971	palmitate biosynthesis II (bacteria and plants)	3	
PWY-5972	stearate biosynthesis I (animals and fungi)	2	
PWY-5973	<i>cis</i>-vaccenate biosynthesis	4	
PWY-5981	CDP-diacylglycerol biosynthesis III	3	
PWY-5989	stearate biosynthesis II (bacteria and plants)	3	
PWY-6000	&gamma;-linolenate biosynthesis II (animals)	2	
PWY-6001	linoleate biosynthesis II (animals)	2	
PWY-6002	lotaustralin degradation	3	
PWY-6054	dimethylsulfoniopropanoate biosynthesis I (Wollastonia)	1	
PWY-6055	dimethylsulfoniopropanoate biosynthesis II (Spartina)	1	
PWY-6113	superpathway of mycolate biosynthesis	3	
PWY-6120	L-tyrosine biosynthesis III	2	
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	5	
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	4	
PWY-6123	inosine-5'-phosphate biosynthesis I	4	
PWY-6124	inosine-5'-phosphate biosynthesis II	3	
PWY-6142	gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>)	19	
PWY-6143	CMP-pseudaminate biosynthesis	1	
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	3	
PWY-6148	tetrahydromethanopterin biosynthesis	2	
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	7	
PWY-6164	3-dehydroquinate biosynthesis I	3	
PWY-6167	flavin biosynthesis II (archaea)	4	
PWY-6168	flavin biosynthesis III (fungi)	4	
PWY-6173	histamine biosynthesis	1	
PWY-6181	histamine degradation	1	
PWY-621	sucrose degradation III (sucrose invertase)	2	
PWY-6214	3-chlorocatechol degradation III (<i>meta</i> pathway)	1	
PWY-622	starch biosynthesis	7	
PWY-6268	adenosylcobalamin salvage from cobalamin	1	
PWY-6269	adenosylcobalamin salvage from cobinamide II	6	
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	4	
PWY-6281	L-selenocysteine biosynthesis II (archaea and eukaryotes)	1	
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	3	
PWY-6305	putrescine biosynthesis IV	3	
PWY-6307	L-tryptophan degradation X (mammalian, via tryptamine)	1	
PWY-6308	L-cysteine biosynthesis II (tRNA-dependent)	1	
PWY-6313	serotonin degradation	2	
PWY-6317	D-galactose degradation I (Leloir pathway)	1	
PWY-6318	L-phenylalanine degradation IV (mammalian, via side chain)	4	
PWY-6333	acetaldehyde biosynthesis I	1	
PWY-6336	protocatechuate degradation III (<I>para</I>-cleavage pathway)	1	
PWY-6342	noradrenaline and adrenaline degradation	2	
PWY-6344	L-ornithine degradation II (Stickland reaction)	1	
PWY-6383	mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis	1	
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	3	
PWY-6386	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	11	
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	12	
PWY-6389	(<i>S</i>)-acetoin biosynthesis	3	
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	1	
PWY-6415	L-ascorbate biosynthesis V	1	
PWY-6416	quinate degradation II	1	
PWY-6435	4-hydroxybenzoate biosynthesis V	1	
PWY-6453	stigma estolide biosynthesis	3	
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	4	
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	10	
PWY-6502	oxidized GTP and dGTP detoxification	2	
PWY-6512	hydrogen oxidation III (anaerobic, NADP)	4	
PWY-6519	8-amino-7-oxononanoate biosynthesis I	6	
PWY-6527	stachyose degradation	1	
PWY-6531	mannitol cycle	1	
PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	2	
PWY-6549	L-glutamine biosynthesis III	6	
PWY-6556	pyrimidine ribonucleosides salvage II	2	
PWY-6559	spermidine biosynthesis II	2	
PWY-6562	norspermidine biosynthesis	2	
PWY-6578	8-amino-7-oxononanoate biosynthesis III	1	
PWY-6583	pyruvate fermentation to butanol I	9	
PWY-6587	pyruvate fermentation to ethanol III	10	
PWY-6588	pyruvate fermentation to acetone	9	
PWY-6596	adenosine nucleotides degradation I	1	
PWY-6599	guanine and guanosine salvage II	1	
PWY-6605	adenine and adenosine salvage II	1	
PWY-6606	guanosine nucleotides degradation II	1	
PWY-6608	guanosine nucleotides degradation III	1	
PWY-6609	adenine and adenosine salvage III	3	
PWY-6610	adenine salvage	2	
PWY-6611	adenine and adenosine salvage V	2	
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	2	
PWY-6614	tetrahydrofolate biosynthesis	3	
PWY-6620	guanine and guanosine salvage	1	
PWY-6627	salinosporamide A biosynthesis	4	
PWY-6637	sulfolactate degradation II	1	
PWY-6638	sulfolactate degradation III	2	
PWY-6642	(<i>R</i>)-cysteate degradation	2	
PWY-6643	coenzyme M biosynthesis II	2	
PWY-6644	fluoroacetate and fluorothreonine biosynthesis	2	
PWY-6654	phosphopantothenate biosynthesis III	1	
PWY-6659	fusicoccin A biosynthesis	1	
PWY-6660	2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis	2	
PWY-6661	4-hydroxy-2(1<i>H</i>)-quinolone biosynthesis	2	
PWY-6672	<i>cis</i>-genanyl-CoA degradation	1	
PWY-6683	sulfate reduction III (assimilatory)	2	
PWY-6691	plaunotol biosynthesis	1	
PWY-6692	Fe(II) oxidation	3	
PWY-6696	oxalate degradation III	1	
PWY-6700	queuosine biosynthesis	2	
PWY-6703	preQ<sub>0</sub> biosynthesis	4	
PWY-6707	gallate biosynthesis	1	
PWY-6728	methylaspartate cycle	4	
PWY-6731	starch degradation III	2	
PWY-6733	sporopollenin precursors biosynthesis	2	
PWY-6737	starch degradation V	2	
PWY-6749	CMP-legionaminate biosynthesis I	4	
PWY-6753	<i>S</i>-methyl-5'-thioadenosine degradation III	1	
PWY-6756	<i>S</i>-methyl-5'-thioadenosine degradation II	1	
PWY-6765	hydrogen production IV	4	
PWY-6769	rhamnogalacturonan type I degradation I (fungi)	1	
PWY-6771	rhamnogalacturonan type I degradation II (bacteria)	1	
PWY-6780	hydrogen production VI	1	
PWY-6784	cellulose and hemicellulose degradation (cellulolosome)	4	
PWY-6788	cellulose degradation II (fungi)	11	
PWY-6797	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea)	2	
PWY-6802	salidroside biosynthesis	1	
PWY-6803	phosphatidylcholine acyl editing	2	
PWY-6807	xyloglucan degradation II (exoglucanase)	1	
PWY-6808	dTDP-D-forosamine biosynthesis	2	
PWY-6813	glucuronoarabinoxylan degradation	1	
PWY-6823	molybdenum cofactor biosynthesis	2	
PWY-6829	tRNA methylation (yeast)	1	
PWY-6834	spermidine biosynthesis III	3	
PWY-6854	ethylene biosynthesis III (microbes)	1	
PWY-6859	<i>all-trans</i>-farnesol biosynthesis	1	
PWY-6863	pyruvate fermentation to hexanol	9	
PWY-6871	3-methylbutanol biosynthesis	3	
PWY-6873	long chain fatty acid ester synthesis for microdiesel production	2	
PWY-6876	isopropanol biosynthesis	9	
PWY-6886	1-butanol autotrophic biosynthesis	7	
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	1	
PWY-6891	thiazole biosynthesis II (aerobic bacteria)	5	
PWY-6892	thiazole biosynthesis I (facultative anaerobic bacteria)	7	
PWY-6893	thiamine diphosphate biosynthesis II (Bacillus)	1	
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)	1	
PWY-6897	thiamine salvage II	1	
PWY-6898	thiamine salvage III	1	
PWY-6901	superpathway of glucose and xylose degradation	14	
PWY-6902	chitin degradation II	2	
PWY-6906	chitin derivatives degradation	1	
PWY-6907	thiamine diphosphate biosynthesis III (Staphylococcus)	2	
PWY-6908	thiamine diphosphate biosynthesis IV (eukaryotes)	2	
PWY-6920	6-gingerol analog biosynthesis	2	
PWY-6922	L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis	2	
PWY-6932	selenate reduction	2	
PWY-6936	seleno-amino acid biosynthesis	5	
PWY-6938	NADH repair	1	
PWY-6942	dTDP-D-desosamine biosynthesis	2	
PWY-6953	dTDP-3-acetamido-&alpha;-D-fucos biosynthesis	2	
PWY-6963	ammonia assimilation cycle I	5	
PWY-6964	ammonia assimilation cycle II	4	
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	7	
PWY-6973	dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis	2	
PWY-6974	dTDP-L-olivose biosynthesis	2	
PWY-6976	dTDP-L-mycarose biosynthesis	2	
PWY-6981	chitin biosynthesis	1	
PWY-6983	tetrahydrobiopterin biosynthesis III	2	
PWY-6992	1,5-anhydrofructose degradation	2	
PWY-7003	glycerol degradation to butanol	9	
PWY-7006	4-amino-3-hydroxybenzoate degradation	1	
PWY-7007	methyl ketone biosynthesis	1	
PWY-7013	L-1,2-propanediol degradation	1	
PWY-7033	alkane biosynthesis II	2	
PWY-7046	4-coumarate degradation (anaerobic)	1	
PWY-7049	icosapentaenoate biosynthesis II (6-desaturase, mammals)	2	
PWY-7052	cyanophycin metabolism	2	
PWY-7053	docosahexaenoate biosynthesis I (lower eukaryotes)	2	
PWY-7077	<i>N</i>-acetyl-D-galactosamine degradation	2	
PWY-7085	triethylamine degradation	1	
PWY-7089	taxiphyllin bioactivation	3	
PWY-7091	linustatin bioactivation	3	
PWY-7092	neolinustatin bioactivation	3	
PWY-7094	fatty acid salvage	3	
PWY-7102	bisabolene biosynthesis	1	
PWY-7104	dTDP-L-megosamine biosynthesis	2	
PWY-7111	pyruvate fermentation to isobutanol (engineered)	6	
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type	3	
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	3	
PWY-7118	chitin degradation to ethanol	2	
PWY-7124	ethylene biosynthesis V (engineered)	7	
PWY-7131	CMP-legionaminate biosynthesis II	3	
PWY-7141	(3<i>S</i>)-linalool biosynthesis	1	
PWY-7147	8-amino-7-oxononanoate biosynthesis II	1	
PWY-7153	grixazone biosynthesis	2	
PWY-7159	chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	1	
PWY-7174	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II	3	
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	2	
PWY-7177	UTP and CTP dephosphorylation II	1	
PWY-7179	purine deoxyribonucleosides degradation I	2	
PWY-7179-1	purine deoxyribonucleosides degradation II	2	
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	4	
PWY-7181	pyrimidine deoxyribonucleosides degradation	2	
PWY-7182	linalool biosynthesis I	1	
PWY-7183	pyrimidine nucleobases salvage I	2	
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	3	
PWY-7185	UTP and CTP dephosphorylation I	1	
PWY-7187	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II	4	
PWY-7193	pyrimidine ribonucleosides salvage I	3	
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	1	
PWY-7198	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis IV	3	
PWY-7199	pyrimidine deoxyribonucleosides salvage	3	
PWY-7205	CMP phosphorylation	1	
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	4	
PWY-7218	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)	6	
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	7	
PWY-7220	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	3	
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	4	
PWY-7222	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	3	
PWY-7224	purine deoxyribonucleosides salvage	1	
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I	2	
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	2	
PWY-7230	ubiquinol-6 biosynthesis from 4-aminobenzoate (eukaryotic)	1	
PWY-7234	inosine-5'-phosphate biosynthesis III	4	
PWY-7238	sucrose biosynthesis II	3	
PWY-7246	pectin degradation II	1	
PWY-7248	pectin degradation III	1	
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	2	
PWY-7254	TCA cycle VII (acetate-producers)	3	
PWY-7268	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	2	
PWY-7269	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	2	
PWY-7274	D-cycloserine biosynthesis	1	
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)	1	
PWY-7285	methylwyosine biosynthesis	1	
PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	1	
PWY-7288	fatty acid &beta;-oxidation (peroxisome, yeast)	2	
PWY-7290	<i>Escherichia coli</i> serotype O86 <i>O</i>-antigen biosynthesis	2	
PWY-7301	dTDP-4-<i>O</i>-demethyl-&beta;-L-noviose biosynthesis	4	
